Category	Start	End
Before School	12:00 AM	8:15 AM
Period 1	8:15 AM	8:35 AM
Passing 1 to 2	8:35 AM	8:39 AM
Period 2	8:39 AM	8:59 AM
Passing 2 to 3	8:59 AM	9:03 AM
Period 3	9:03 AM	9:23 AM
Passing 3 to 4	9:23 AM	9:27 AM
Period 4	9:27 AM	9:47 AM
Passing 4 to 5	9:47 AM	9:51 AM
Period 5	9:51 AM	10:11 AM
Passing 5 to 6	10:11 AM	10:15 AM
Period 6	10:15 AM	10:35 AM
Passing 6 to 7	10:35 AM	10:39 AM
Period 7	10:39 AM	10:59 AM
Passing 7 to 8	10:59 AM	11:03 AM
Period 8	11:03 AM	11:23 AM
Passing 8 to 9	11:23 AM	11:27 AM
Period 9	11:27 AM	11:47 AM
Passing 9 to 10	11:47 AM	11:51 AM
Period 10	11:51 AM	12:11 PM
Lunch	12:11 PM	12:56 PM
Teacher Preparation	12:56 PM	1:00 PM
Parent Teacher Conferences	1:00 PM	3:00 PM
After School	3:00 PM	11:59 PM